current-countries	SU	sha-256:10d79c864d2c3f2ea6bc8e73d1ac40f5add153a5180bd1ef3a276c877dffc912	1	2	1	2
current-countries	GB	sha-256:6b18693874513ba13da54d61aafa7cad0c8f5573f3431d6f1c04b07ddb27d6bb	7	null	3	null
current-countries	AF	sha-256:6bf7f01f268fa6d18e53eb7d5ebadb41c25c4aa2eedecfb7bc863e233ec99e24	8	null	4	null
current-countries	AL	sha-256:9d04a7e04ac92ab809a7471e7142617bc30a4b2d2f30c1002520a4a1d216f2a5	9	null	5	null
current-countries	DZ	sha-256:3548cdf528e450626113d44cdd4ac3a19ff992313fe814899c3198d4e0baeff9	10	null	6	null
current-countries	AD	sha-256:14fcb5099f0eff4c40d5a85b0e3c2f1a04337dc69dace1fc5c64ec9758a19b13	11	null	7	null
current-countries	AO	sha-256:c66f7a4f655d41425d2aba07bc6204c1d764c3fd8cfba9b3f8ed25baae244427	12	null	8	null
current-countries	AG	sha-256:d97b6f4b277e0af0d61456c75106a38cecace2f362d1bfa29e704a63c84e4328	13	null	9	null
current-countries	AR	sha-256:ca880f33b29256578d0be532579837f08a7bdaf1b968adf6e63708ec2d782a53	14	null	10	null
current-countries	AM	sha-256:47b2db84d1a0e3abc6bca332a3c40253f84225f181b37a312b0d3c14b32727d1	15	null	11	null
current-countries	AU	sha-256:a5917aaa595c7dcbade7138d92fc249848df6a9c2efc282e28fb540b3dc3d0bb	16	null	12	null
current-countries	AT	sha-256:77e8694806852b806d9be797cbcb068ca4a2d7c9ed499daf8341d614686de624	17	null	13	null
current-countries	AZ	sha-256:be1bdd0de400a14cbd3142ab1c5ce4e06bb4deddeb13bffd4890058f04de651f	18	null	14	null
current-countries	BS	sha-256:3280e7fb2aaf8c864cdd48d8d493c548fe5e918c2de5d3c2fed69967bf9c984a	19	204	15	200
current-countries	BH	sha-256:dd4dd8658072865671172333a641e6d37e1d477baa3bf23e7a6b52328a6162c1	20	null	16	null
current-countries	BD	sha-256:abad68e29c01ae14b24e828fa5b99bad6565800cd9591bf5cf32679013e726a8	21	null	17	null
current-countries	BB	sha-256:15203db1a0b4ea2685cda93fb8ca9a1adcdd41a63f8eef03365eba5332a2c3e3	22	null	18	null
current-countries	BY	sha-256:4a84d2e46ab352b337f84e92dc593332fc6bfa994de698acb37adfd0113813c0	23	null	19	null
current-countries	BE	sha-256:1924e51549dbc45de01cfb444b1ace3f20893fff184bdc9426eb0fdec1192bf6	24	null	20	null
current-countries	BZ	sha-256:c63e4432bd5967cc660b740ef0e371372f1734db62f464b46a05070b9e97559b	25	null	21	null
current-countries	BJ	sha-256:1fa352d281dc7cce463a125454d841e5b6cd5bf0a3f57b4d59c6e48298e105fc	26	null	22	null
current-countries	BT	sha-256:51e5fef041cffbcb6cc6bbcaf292ada263d09b1c4e533cf96da8b1c0d24b1500	27	null	23	null
current-countries	BO	sha-256:058d5947158d724aac39bd3e069be83fb21856deb4e00ef1734c080169ff916d	28	null	24	null
current-countries	BA	sha-256:fa02a4104dd3181cae2ef62397268f1d95d37150a15009ba61b54f84d61fb4b0	29	null	25	null
current-countries	BW	sha-256:608cd602c89522050e8235d2b145ddd1d1817c6c442bb6fec095ef292b8997d1	30	null	26	null
current-countries	BR	sha-256:5ad9666bf6362ff05bcff93c49138fa1010f9093139ad916deabc665e3c5001f	31	null	27	null
current-countries	BN	sha-256:86f3445909c019ec4635ea638a6c949c354dd027855f4929da775727c46cbf72	32	null	28	null
current-countries	BG	sha-256:56f710e5a8d7eb6fffbeb819cfa901ae9af121b2f64bd6b91534bb7d09954e9f	33	null	29	null
current-countries	BF	sha-256:91af7bcc47b161b8948f743c265479234dfae4924f3211a72bcbde4250832bd9	34	null	30	null
current-countries	MM	sha-256:d826a3c8c191b08c3da4c7b61e9e8fc1dcb2d6501211df4814d9075f6b865164	35	null	31	null
current-countries	BI	sha-256:50f7e2bf23b157a5d89ff0139fa453bd98bcfd2331dd98806ce52ef6d33b5a5c	36	null	32	null
current-countries	KH	sha-256:ce4f468616501c8067649db804e60cb2f177f5d1ab72b371fcd3d8498df7adcb	37	null	33	null
current-countries	CM	sha-256:2de017cea16f6444dcf5e63459385db222c9211a0353ee62da56d1771339842f	38	null	34	null
current-countries	CA	sha-256:27c8a0f5af23762e30b11ce5f743abfb443a5c74e5d7c9050e32411a96e6b905	39	null	35	null
current-countries	CV	sha-256:afe914d82eafd2a8c92d51be7b9900b6602caf51941cdfd0c4b5197f9682a4f5	40	null	36	null
current-countries	CF	sha-256:17d940731b9abb32f195f1c8d4e2fb2172777fa1ae3074f8f7277c3982036f63	41	null	37	null
current-countries	TD	sha-256:d9289603bc37049b30cc8b169a59780d93ac9bf4b838d5c4bf3ffb6d4b14354e	42	null	38	null
current-countries	CL	sha-256:20876a6e92af5c05fe7a11ee0111b1cf04ff5c158abe1f7334755a766a71c180	43	null	39	null
current-countries	CN	sha-256:bc808ed6f3eb9aba16a4624de0f3e03404d3c35421382bf529dd9a503f341856	44	null	40	null
current-countries	CO	sha-256:c8b0ab444b62407caf3d5ae2eb99eb42e25cb9b4487c978dbdb49edb939e45c5	45	null	41	null
current-countries	KM	sha-256:7d7c106548431f31218df1535a93a35ea3b3f22d2bf9318d674c927ccef8fe9a	46	null	42	null
current-countries	CG	sha-256:9122cdf8b3e283e6d3d2240558ef6ef2e57cb8617b4624e3bcb6b9ca65e2886f	47	null	43	null
current-countries	CD	sha-256:dea4971f37c8b1d20556b05824cf39e60389c9778cabe6a81ff5af762596427d	48	null	44	null
current-countries	CR	sha-256:9f1322807b4dad6d120eeacacd812b90b9ab3f41feab39be45fcc1725d2c94b9	49	null	45	null
current-countries	HR	sha-256:208e2540acd0d6209a6ab88e9b554cfbed2a226580f0d4d452a13389f79fc9f7	50	null	46	null
current-countries	CU	sha-256:0e05f13f484f53fbafc58b7d935a8640ebecbac26b1962dcd7ef05f8d8fc995a	51	null	47	null
current-countries	CY	sha-256:c0b0738976093ce8711163068796c29deec46412c056ec948697be35bd1c30f1	52	null	48	null
current-countries	CZ	sha-256:c45bd0b4785680534e07c627a5eea0d2f065f0a4184a02ba2c1e643672c3f2ed	53	206	49	202
current-countries	DK	sha-256:e1b54fbe5885d14069c125cb39ee489389e3028fd69b9b0e419f2ec688aad882	54	null	50	null
current-countries	DJ	sha-256:fbf149fca3315b50710077b017cdf3b569cc41f2a75e787b9dfb4ac48e0f31cf	55	null	51	null
current-countries	DM	sha-256:ca92ee5217741a2ca6051d25367975dd934854f81dfa6e28dc91f6ec1bfabab4	56	null	52	null
current-countries	DO	sha-256:a40b482e8e2966406769b5fdd5389da40454209c9d6a7dfcd18ecbea154f3412	57	null	53	null
current-countries	TL	sha-256:faba1d16a599882f6c50f588bd87321e3629c2a87d974579efb65fb84355eed0	58	null	54	null
current-countries	EC	sha-256:80442f4556dbf969424a566ecacf075dc09e5c8a3807d252a12c89f4dbb4769b	59	null	55	null
current-countries	EG	sha-256:be5f4584e3ee1422646a1bd179fc8ea7936a728f0a88d3becc52b83d3fa5c209	60	null	56	null
current-countries	SV	sha-256:e1e6dd1783266b91deaee0adf59b32945466e5b57eb1abe18bbab91c35f562f0	61	null	57	null
current-countries	GQ	sha-256:d8f801a489b33a26c7457f9ad9eb49f6a3973f6be2fbfe3bbb6b13e3c7a0b813	62	null	58	null
current-countries	ER	sha-256:0d62a0cca252b73a826e1db642cdde4a89adf8747c3ecf79e5a34cd1bb94792a	63	null	59	null
current-countries	EE	sha-256:73c5327e464414b8a6a87cbe3f736c7a001452abe87bb6d3ec8d4f221a4d25c6	64	null	60	null
current-countries	ET	sha-256:a1940769be9793c6904cd01dc9297f61aa3f49b99007bff734c30269e90b7046	65	null	61	null
current-countries	FJ	sha-256:dfd316190c8a79880bde587da94d3f0b8eeeb752626a0a64697f2288f1ee4e1f	66	null	62	null
current-countries	FI	sha-256:df2c57df1a3fce1cdd2b55918e74dcd2cc7e11eec07a619b07fc0a90269450ee	67	null	63	null
current-countries	FR	sha-256:e583abf7519bb6c92bbdf9ca90d2891add60a4b34b665ed83a86650a98b54c1c	68	null	64	null
current-countries	GA	sha-256:1f133cb20145534e818734028da0d9fcd823f1ee199b2ffeb7f277c0db25e2a0	69	null	65	null
current-countries	GM	sha-256:e0bbb548ce74f7e9c6dc65009d983aaeaec05fb308422691b81af425e9f09423	70	202	66	198
current-countries	GE	sha-256:e057a6d45ba312f55cdd31d8fcad5a79f344d0d8833a34c416a5859f67c30e5c	71	null	67	null
current-countries	DE	sha-256:747dbb718cb9f9799852e7bf698c499e6b83fb1a46ec06dbd6087f35c1e955cc	72	null	68	null
current-countries	GH	sha-256:dc1d12943ea264de937468b254286e5ebd8acd316e21bf667076ebdb8c111bd1	73	null	69	null
current-countries	GR	sha-256:85bf72046e8b6935b2aee45ef4a13a170bb819956c10de92277611dfd196e202	74	null	70	null
current-countries	GD	sha-256:23ee932e81d9be1b7bc52be0644f810a5c526591df791d64e3b1464bc2404729	75	null	71	null
current-countries	GT	sha-256:6b9bbb2d3409c1f2751ae36c22e84c1e954fdc2a1b2cb6ecf2635260048a3167	76	null	72	null
current-countries	GN	sha-256:21eccd06c2c2d23e3f3cfdd3be61ab6cfa08b15d4a0a7188ea4bb25c28935869	77	null	73	null
current-countries	GW	sha-256:d0e833cb483fe5bcbbd2484794326fd201b2dc83c9b48c3496aff56478abf57c	78	null	74	null
current-countries	GY	sha-256:36ee7af0d204735abf3d6bebbf2e80fb930bd5db34f4c9471d1f3c231e133157	79	null	75	null
current-countries	HT	sha-256:f9e92c07726ac713f603f9c8ccd97750977c82b57f970f4fe42cc42d8f35df6a	80	null	76	null
current-countries	HN	sha-256:1b1c87ceaa3a398aad831d17747ba9ad6c6dbe2146f4b3c15d48af8a8ae45946	81	null	77	null
current-countries	HU	sha-256:c413c7c33f93db2ced0a16a23ee7ace9525b74d5e2f3f31ef38b820c6e4a33c1	82	null	78	null
current-countries	IS	sha-256:8600cf69794d9854f8dcd7e51fbcdf8f31678fba12f1c8185fb61211be0628e9	83	null	79	null
current-countries	IN	sha-256:ee78f485f8ad1a169745366da4057c8fc0102e9461b5c1f0d12e1e381387217e	84	null	80	null
current-countries	ID	sha-256:9879968660823c6f5566ca91cac4f161b2e94e8f9497958ddd044d66abb844af	85	null	81	null
current-countries	IR	sha-256:ecd8f9738381675d76ed85a3df8afa7e07f7fdcaba372890aa4aa159cd6ceca2	86	null	82	null
current-countries	IQ	sha-256:4a92f2fe43dcb63ab3b66e3f4f9ce328bbc61f020ee0ecece4e3da40172cabe0	87	null	83	null
current-countries	IE	sha-256:aecb4ee6a7a4e49d1f968f02a11550dc8117382b2064dff7c0454c66d44e86f6	88	null	84	null
current-countries	IL	sha-256:03fd1378efb674662cc302e068078de72e6fd74489ffba19d8f474b6e6c1bd3c	89	null	85	null
current-countries	IT	sha-256:fb70bc281d1b2a73880c2e0d86f8253db0a1397ddca6258e9253921264ca34bc	90	null	86	null
current-countries	CI	sha-256:7c16257bd45b4716914010b39dd40e5a6b985b8928d7b8bb0fe3005d2f2b0fec	91	null	87	null
current-countries	JM	sha-256:13e5cb274e904817afada4563a56509461535c8aff15502a0b7efad226357fc5	92	null	88	null
current-countries	JP	sha-256:3a38ed71e5de0c0ff8c973f22b3965308b6567096d0952c476f1a1484e4bf62a	93	null	89	null
current-countries	JO	sha-256:6bff7775498dfa882f1911170fe467f8f64619dd1cab41e1b31947719a762574	94	null	90	null
current-countries	KZ	sha-256:5cdae4a0d6da81a7615d20f1ece6a6bc8ab50bfe7b010b08bd484c7470945d45	95	null	91	null
current-countries	KE	sha-256:a47f121bcb7e4c7279e8d566ef62ef21802962f68fc87cdde9cb3e054d96ca6f	96	null	92	null
current-countries	KI	sha-256:69eeacbe31eb280ee93fee5b3e701a58f3f31c3180d887932b7fdb07e6b8f319	97	null	93	null
current-countries	KP	sha-256:417078064cda8a732469ca7c3908e4a3bb8be7e5b262b7304c7aa050661164c0	98	null	94	null
current-countries	KR	sha-256:cfcb269265bf8cae36bca46d6681f7134b168b2aeceef4131809594b0e6ecde8	99	null	95	null
current-countries	XK	sha-256:fb6dbf64942d56e0f9706693334fabb8fd4cfacaf796ee01522146e0d608ff54	100	null	96	null
current-countries	KW	sha-256:eb3ee00e6149cd734a7fa7e1f01a5fbf5fb50e1b38a065fd97d6ad3017750351	101	null	97	null
current-countries	KG	sha-256:8b748c574bf975990e47e69df040b47126d2a0a3895b31dce73988fba2ba27d8	102	null	98	null
current-countries	LA	sha-256:490636974f8087e4518d222eba08851dd3e2b85095f2b1427ff6ecd3fa482435	103	null	99	null
current-countries	LV	sha-256:c1de7c598cc2b326018a66b006ad5db9a663ce012d897c223b25db36ca8382d1	104	null	100	null
